model_name,sample_size,eval_in_loss,eval_in_accuracy,eval_in_runtime,eval_in_samples_per_second,eval_in_peak_memory_gb,eval_out_loss,eval_out_accuracy,eval_out_runtime,eval_out_samples_per_second,eval_out_peak_memory_gb
opt-125m,16,0.7700204372406005,0.5,4.3980677127838135,11.368628967368004,5.8935465812683105,0.6819746541976929,0.54,3.620323657989502,13.81091988547975,5.8935465812683105
opt-125m,4096,0.7859975439310074,0.42,4.012048244476318,12.462462301852595,5.892781734466553,0.6923654967546463,0.5,3.583378553390503,13.953312287559251,5.892781734466553
opt-350m,16,0.8132616430521011,0.5,76.13109803199768,0.6567618396753603,11.385769844055176,0.7732616442441941,0.54,73.93164873123169,0.6763003511766402,11.385121822357178
opt-350m,4096,0.72320441365242,0.56,103.74213314056396,0.48196425585594227,11.389501094818115,0.6931471824645996,0.46,103.47004747390747,0.4832316329284447,11.389501094818115
