model_name,sample_size,eval_in_loss,eval_in_accuracy,eval_in_runtime,eval_in_samples_per_second,eval_in_peak_memory_gb,eval_out_loss,eval_out_accuracy,eval_out_runtime,eval_out_samples_per_second,eval_out_peak_memory_gb
opt-125m,2,0.6791815221309662,0.6,30.203482627868652,0.3310876471832104,6.7336745262146,0.7132616460323333,0.6,25.80851149559021,0.38746907204271186,6.7336745262146
opt-125m,4,0.7032044142484665,0.6,33.61594796180725,0.29747785221947326,6.732081890106201,0.5791815251111985,0.7,32.34635376930237,0.3091538561446852,6.732081890106201
opt-350m,2,0.7171700745820999,0.5,127.59925866127014,0.07837036127730476,10.311509609222412,0.7512501984834671,0.5,130.1016139984131,0.07686299725783552,10.311509609222412
opt-350m,4,0.8032044112682343,0.4,153.90174221992493,0.06497652239511391,10.310887813568115,0.7132616460323333,0.6,152.7819948196411,0.06545273879821364,10.310887813568115
