model_name,sample_size,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,train_peak_memory_gb,eval_in_loss,eval_in_accuracy,eval_in_runtime,eval_in_samples_per_second,eval_in_steps_per_second,eval_in_peak_memory_gb,eval_out_loss,eval_out_accuracy,eval_out_runtime,eval_out_samples_per_second,eval_out_steps_per_second,eval_out_peak_memory_gb,finetuning_method
opt-125m,2,76.6694,1.043,0.522,20903740047360.0,0.0910422345586994,40.0,2.501254081726074,1.651294827461243,0.52,2.3888,20.931,2.93,1.9606671333312988,1.3591598272323608,0.46,2.3738,21.063,2.949,1.9606671333312988,fewshot
opt-125m,2,74.3417,1.076,0.538,20903740047360.0,0.0498396001501532,40.0,2.509810447692871,3.659077405929565,0.5,2.5261,19.794,2.771,1.970322132110596,2.7978763580322266,0.46,2.4061,20.78,2.909,1.970322132110596,fewshot
opt-125m,2,74.1056,1.08,0.54,20903740047360.0,0.0835376810998241,40.0,2.509793281555176,3.068191766738892,0.5,2.3941,20.884,2.924,1.9689679145812988,2.241699457168579,0.54,2.4005,20.829,2.916,1.9689679145812988,fewshot
opt-125m,2,74.1444,1.079,0.539,20903740047360.0,0.1614820058010082,40.0,2.503951072692871,3.0835771560668945,0.5,2.3644,21.147,2.961,1.964462757110596,2.3465769290924072,0.54,2.4877,20.099,2.814,1.964462757110596,fewshot
opt-125m,2,74.8613,1.069,0.534,20903740047360.0,0.1133302556212584,40.0,2.507845878601074,0.8743894100189209,0.5,2.3876,20.941,2.932,1.9672589302062988,0.6655565500259399,0.62,2.4028,20.809,2.913,1.9672589302062988,fewshot
opt-125m,2,74.4693,1.074,0.537,20903740047360.0,0.0911409564767382,40.0,2.5058984756469727,1.4284957647323608,0.54,2.3149,21.599,3.024,1.965195178985596,0.9019846320152284,0.46,2.3264,21.493,3.009,1.965195178985596,fewshot
opt-125m,2,74.0566,1.08,0.54,20903740047360.0,0.1119200589285355,40.0,2.5049219131469727,3.0923309326171875,0.5,2.3359,21.405,2.997,1.9643349647521973,2.407954454421997,0.54,2.3252,21.504,3.011,1.9643349647521973,fewshot
opt-125m,2,73.7771,1.084,0.542,20903740047360.0,0.0716719034739071,40.0,2.506625175476074,1.1013184785842896,0.5,2.3198,21.554,3.018,1.9666543006896973,0.7585542798042297,0.5,2.3195,21.557,3.018,1.9666543006896973,fewshot
opt-125m,2,72.8753,1.098,0.549,20903740047360.0,0.0826550139207029,40.0,2.504672050476074,2.8509795665740967,0.5,2.4463,20.439,2.861,1.9640908241271973,2.5146594047546387,0.54,2.3081,21.663,3.033,1.9640908241271973,fewshot
opt-125m,2,72.9848,1.096,0.548,20903740047360.0,0.0686964275242644,40.0,2.506863594055176,3.2965588569641118,0.5,2.2699,22.027,3.084,1.9664044380187988,3.2080578804016118,0.46,2.322,21.533,3.015,1.9664044380187988,fewshot
opt-125m,4,76.6865,2.086,0.522,41807480094720.0,0.0919229912662558,40.0,3.5672483444213867,2.02266263961792,0.5,2.281,21.92,3.069,1.9687294960021973,1.3133018016815186,0.54,2.3071,21.672,3.034,1.9687294960021973,fewshot
opt-125m,4,76.5579,2.09,0.522,41807480094720.0,0.1149063898050371,40.0,3.5628538131713867,2.1557531356811523,0.5,2.3292,21.467,3.005,1.9656777381896973,1.911993741989136,0.54,2.3385,21.381,2.993,1.9656777381896973,fewshot
opt-125m,4,76.8734,2.081,0.52,41807480094720.0,0.1109420543943997,40.0,3.5630979537963867,2.423065662384033,0.5,2.3354,21.409,2.997,1.9650673866271973,1.4038910865783691,0.54,2.315,21.598,3.024,1.9650673866271973,fewshot
opt-125m,4,76.2049,2.1,0.525,41807480094720.0,0.1150168278902128,40.0,3.557488441467285,0.7683770060539246,0.54,2.2974,21.764,3.047,1.960800647735596,0.7793896198272705,0.5,2.3095,21.65,3.031,1.960800647735596,fewshot
opt-125m,4,76.8077,2.083,0.521,41807480094720.0,0.0924024891381122,40.0,3.5616331100463867,2.1842432022094727,0.5,2.2935,21.801,3.052,1.9643349647521973,2.100669860839844,0.46,2.3067,21.676,3.035,1.9643349647521973,fewshot
opt-125m,4,77.0925,2.075,0.519,41807480094720.0,0.0726206616927811,40.0,3.561638832092285,1.53071928024292,0.48,2.3196,21.556,3.018,1.963730335235596,2.412126302719116,0.46,2.2783,21.946,3.072,1.963730335235596,fewshot
opt-125m,4,76.6262,2.088,0.522,41807480094720.0,0.1344073404055961,40.0,3.5599184036254883,0.8670480251312256,0.56,2.3378,21.387,2.994,1.9628643989562988,0.8240950107574463,0.48,2.314,21.608,3.025,1.9628643989562988,fewshot
opt-125m,4,77.3953,2.067,0.517,41807480094720.0,0.085461916110944,40.0,3.561638832092285,1.0300610065460205,0.58,2.3632,21.157,2.962,1.963730335235596,0.9508508443832396,0.46,2.2786,21.944,3.072,1.963730335235596,fewshot
opt-125m,4,76.5638,2.09,0.522,41807480094720.0,0.055551273049059,40.0,3.558465003967285,2.734781503677368,0.5,2.3323,21.438,3.001,1.962143421173096,1.797690749168396,0.46,2.3288,21.47,3.006,1.962143421173096,fewshot
opt-125m,4,76.984,2.078,0.52,41807480094720.0,0.0874678504347684,40.0,3.561638832092285,2.482599258422852,0.5,2.2783,21.946,3.073,1.964462757110596,2.2859082221984863,0.46,2.3317,21.443,3.002,1.964462757110596,fewshot
opt-125m,8,82.8868,3.861,0.483,83614960189440.0,0.1274457356223138,40.0,5.667632102966309,0.6119036674499512,0.68,2.302,21.721,3.041,1.965805530548096,0.9899230003356934,0.46,2.3538,21.242,2.974,1.965805530548096,fewshot
opt-125m,8,84.372,3.793,0.474,83614960189440.0,0.1144316718491609,40.0,5.667143821716309,1.1870166063308716,0.54,2.4376,20.512,2.872,1.966660022735596,0.96088045835495,0.48,2.3712,21.086,2.952,1.966660022735596,fewshot
opt-125m,8,83.5888,3.828,0.479,83614960189440.0,0.1622966493203421,40.0,5.670062065124512,0.9172869324684144,0.56,2.3219,21.534,3.015,1.9672646522521973,0.7478668093681335,0.54,2.3014,21.726,3.042,1.9672646522521973,fewshot
opt-125m,8,85.7024,3.734,0.467,83614960189440.0,0.0974791197870217,40.0,5.669085502624512,2.7278499603271484,0.5,2.3202,21.55,3.017,1.9686074256896973,2.612584114074707,0.46,2.3439,21.332,2.987,1.9686074256896973,fewshot
opt-125m,8,83.3528,3.839,0.48,83614960189440.0,0.1330087346563232,40.0,5.66616153717041,0.7857147455215454,0.6,2.3112,21.634,3.029,1.965317249298096,0.8609684705734253,0.5,2.4353,20.532,2.874,1.965317249298096,fewshot
opt-125m,8,83.3376,3.84,0.48,83614960189440.0,0.1039121137895563,40.0,5.667387962341309,1.383877515792847,0.62,2.3116,21.63,3.028,1.966660022735596,1.420020580291748,0.44,2.3063,21.679,3.035,1.966660022735596,fewshot
opt-125m,8,84.243,3.799,0.475,83614960189440.0,0.0768352250910538,40.0,5.66616153717041,1.4416691064834597,0.58,2.4452,20.448,2.863,1.965317249298096,1.0013431310653689,0.44,2.4603,20.323,2.845,1.965317249298096,fewshot
opt-125m,8,85.2623,3.753,0.469,83614960189440.0,0.1522572407047846,40.0,5.66957950592041,1.5243215560913086,0.46,2.338,21.386,2.994,1.968124866485596,1.0511786937713623,0.54,2.419,20.67,2.894,1.968124866485596,fewshot
opt-125m,8,86.7795,3.688,0.461,83614960189440.0,0.116523175581824,40.0,5.66640567779541,0.8573195934295654,0.54,2.3872,20.945,2.932,1.966049671173096,0.7637326121330261,0.6,2.3379,21.386,2.994,1.966049671173096,fewshot
opt-125m,8,85.1593,3.758,0.47,83614960189440.0,0.1368692083524365,40.0,5.670073509216309,1.6968246698379517,0.44,2.3947,20.879,2.923,1.968857288360596,0.8947157859802246,0.54,2.4095,20.751,2.905,1.968857288360596,fewshot
