model_name,sample_size,epoch,train_loss,val_loss
opt-125m,2,16,1.0831,0.7770445942878723
opt-125m,2,17,1.257,0.7737659215927124
opt-125m,2,18,1.2208,0.770675778388977
opt-125m,2,19,1.3557,0.7677598595619202
opt-125m,2,20,1.1053,0.7649924159049988
opt-125m,2,21,1.0669,0.762352466583252
opt-125m,2,22,1.1151,0.759875476360321
opt-125m,2,23,1.1282,0.7575761079788208
opt-125m,2,24,1.3545,0.7554190754890442
opt-125m,2,25,1.3177,0.7533971667289734
opt-125m,2,26,1.0817,0.7514875531196594
opt-125m,2,27,1.0472,0.7496998310089111
opt-125m,2,28,1.0061,0.7480225563049316
opt-125m,2,29,1.1433,0.7464824914932251
opt-125m,2,30,1.0005,0.7450810670852661
opt-125m,2,31,0.9251,0.7437947988510132
opt-125m,2,32,1.0477,0.7426434755325317
opt-125m,2,33,1.1287,0.7416163682937622
opt-125m,2,34,1.1059,0.7407140731811523
opt-125m,2,35,0.9661,0.7399370074272156
opt-125m,2,36,1.1341,0.7392905354499817
opt-125m,2,37,0.9822,0.7387775778770447
opt-125m,2,38,1.0787,0.7383958101272583
opt-125m,2,39,1.0127,0.7381414175033569
opt-125m,2,40,0.8821,0.7380141019821167
opt-125m,2,1,0.7294,0.8382819294929504
opt-125m,2,2,0.8021,0.8373836278915405
opt-125m,2,3,0.8159,0.8357805013656616
opt-125m,2,4,0.7633,0.833696722984314
opt-125m,2,5,0.802,0.8309265375137329
opt-125m,2,6,1.0006,0.8285626173019409
opt-125m,2,7,0.9157,0.8261510133743286
opt-125m,2,8,0.7274,0.8236845135688782
opt-125m,2,9,0.728,0.8211408853530884
opt-125m,2,10,0.6796,0.8186895251274109
opt-125m,2,11,0.8554,0.8162118792533875
opt-125m,2,12,0.7938,0.8139151334762573
opt-125m,2,13,0.6264,0.8117580413818359
opt-125m,2,14,0.8016,0.809597373008728
opt-125m,2,15,0.817,0.807603657245636
opt-125m,2,16,0.8653,0.8057724833488464
opt-125m,2,17,0.6911,0.8041569590568542
opt-125m,2,18,0.728,0.8026402592658997
opt-125m,2,19,0.7016,0.8012349009513855
opt-125m,2,20,0.7035,0.7998940348625183
opt-125m,2,21,0.641,0.7986108660697937
opt-125m,2,22,0.8701,0.7972811460494995
opt-125m,2,23,0.7593,0.7959913015365601
opt-125m,2,24,0.6277,0.7947483062744141
opt-125m,2,25,0.8144,0.7936169505119324
opt-125m,2,26,0.7341,0.7926115393638611
opt-125m,2,27,0.6878,0.7916653752326965
opt-125m,2,28,0.7697,0.7908417582511902
opt-125m,2,29,0.767,0.7901127934455872
opt-125m,2,30,0.7415,0.7893975377082825
opt-125m,2,31,0.7058,0.7887751460075378
opt-125m,2,32,0.8346,0.7882174253463745
opt-125m,2,33,0.7265,0.7877016067504883
opt-125m,2,34,0.6703,0.7872666716575623
opt-125m,2,35,0.8432,0.7868783473968506
opt-125m,2,36,0.8998,0.7865422964096069
opt-125m,2,37,0.649,0.7862826585769653
opt-125m,2,38,0.7248,0.7860790491104126
opt-125m,2,39,0.7083,0.7859374284744263
opt-125m,2,40,0.6226,0.7858710885047913
opt-125m,2,1,0.6834,0.8382819294929504
opt-125m,2,2,0.6001,0.8381708264350891
opt-125m,2,3,0.8027,0.8381195068359375
opt-125m,2,4,0.7396,0.8379429578781128
opt-125m,2,5,0.6661,0.8381155133247375
opt-125m,2,6,0.6085,0.8382915258407593
opt-125m,2,7,0.5526,0.8380153775215149
opt-125m,2,8,0.634,0.8377485275268555
opt-125m,2,9,0.6407,0.8376733660697937
opt-125m,2,10,0.8415,0.8378151059150696
opt-125m,2,11,0.6979,0.8379721641540527
opt-125m,2,12,0.7415,0.8379091024398804
opt-125m,2,13,0.7228,0.8378008604049683
opt-125m,2,14,0.7138,0.8376182317733765
opt-125m,2,15,0.7424,0.8374699354171753
opt-125m,2,16,0.6328,0.8376910090446472
opt-125m,2,17,0.6962,0.8379597663879395
opt-125m,2,18,0.5943,0.8382209539413452
opt-125m,2,19,0.6235,0.8383579254150391
opt-125m,2,20,0.598,0.8384504318237305
opt-125m,2,21,0.6157,0.8386656045913696
opt-125m,2,22,0.7735,0.8387318849563599
opt-125m,2,23,0.6492,0.8386801481246948
opt-125m,2,24,0.6407,0.8387110829353333
opt-125m,2,25,0.6655,0.8388069868087769
opt-125m,2,26,0.5163,0.8389055132865906
opt-125m,2,27,0.6785,0.8389317393302917
opt-125m,2,28,0.6314,0.8390525579452515
opt-125m,2,29,0.523,0.8391348123550415
opt-125m,2,30,0.5947,0.8392289280891418
opt-125m,2,31,0.5923,0.8392783999443054
opt-125m,2,32,0.6384,0.8393121957778931
opt-125m,2,33,0.6674,0.8393357992172241
opt-125m,2,34,0.5984,0.8393437266349792
opt-125m,2,35,0.5615,0.8393682241439819
opt-125m,2,36,0.6048,0.8393804430961609
opt-125m,2,37,0.6062,0.8393756151199341
opt-125m,2,38,0.5735,0.8393502235412598
opt-125m,2,39,0.7304,0.8393389582633972
opt-125m,2,40,0.6753,0.8393279910087585
opt-125m,2,1,1.1003,0.8382819294929504
opt-125m,2,2,1.2592,0.8365761041641235
opt-125m,2,3,1.043,0.8332207798957825
opt-125m,2,4,1.0405,0.82830411195755
opt-125m,2,5,1.1394,0.8217746615409851
opt-125m,2,6,1.0547,0.8154309988021851
opt-125m,2,7,0.8794,0.8093518018722534
opt-125m,2,8,0.9828,0.8034915924072266
opt-125m,2,9,0.9536,0.7979252934455872
opt-125m,2,10,1.0456,0.7926465272903442
opt-125m,2,11,0.8458,0.7875702977180481
opt-125m,2,12,0.9916,0.7826648354530334
opt-125m,2,13,0.7682,0.7779645919799805
opt-125m,2,14,0.8706,0.7734850645065308
opt-125m,2,15,0.8872,0.7692133188247681
opt-125m,2,16,0.9913,0.7651292681694031
opt-125m,2,17,0.9706,0.7612456679344177
opt-125m,2,18,0.8505,0.7575720548629761
opt-125m,2,19,0.8084,0.7541009783744812
opt-125m,2,20,0.908,0.7507710456848145
opt-125m,2,21,0.6991,0.7476153373718262
opt-125m,2,22,0.8798,0.7446481585502625
opt-125m,2,23,0.6887,0.7418535351753235
opt-125m,2,24,0.776,0.7392340898513794
opt-125m,2,25,0.9872,0.7368015050888062
opt-125m,2,26,0.8377,0.7345224022865295
opt-125m,2,27,0.7536,0.7324059009552002
opt-125m,2,28,0.8377,0.7304588556289673
opt-125m,2,29,0.813,0.7286694049835205
opt-125m,2,30,0.8053,0.7270393371582031
opt-125m,2,31,0.7435,0.7255740761756897
opt-125m,2,32,0.7137,0.72425776720047
opt-125m,2,33,0.6657,0.7230846285820007
opt-125m,2,34,0.7128,0.7220609188079834
opt-125m,2,35,0.7116,0.7211823463439941
opt-125m,2,36,0.8441,0.7204494476318359
opt-125m,2,37,0.7416,0.7198613882064819
opt-125m,2,38,0.6926,0.7194257974624634
opt-125m,2,39,0.6937,0.7191339731216431
opt-125m,2,40,0.647,0.7189873456954956
opt-125m,2,1,0.5708,0.8382819294929504
opt-125m,2,2,0.6407,0.8385715484619141
opt-125m,2,3,0.5601,0.8388675451278687
opt-125m,2,4,0.4973,0.8389708399772644
opt-125m,2,5,0.6891,0.8393646478652954
opt-125m,2,6,0.577,0.839931845664978
opt-125m,2,7,0.5314,0.8401473760604858
opt-125m,2,8,0.5538,0.8403266668319702
opt-125m,2,9,0.5139,0.8402953147888184
opt-125m,2,10,0.5486,0.8401268720626831
opt-125m,2,11,0.5388,0.839743971824646
opt-125m,2,12,0.4995,0.8392793536186218
opt-125m,2,13,0.6559,0.8388096690177917
opt-125m,2,14,0.5846,0.8382529020309448
opt-125m,2,15,0.5503,0.8377920985221863
opt-125m,2,16,0.5057,0.8373295068740845
opt-125m,2,17,0.5605,0.8369532823562622
opt-125m,2,18,0.5403,0.8366895914077759
opt-125m,2,19,0.5292,0.8364879488945007
opt-125m,2,20,0.5895,0.8361572027206421
opt-125m,2,21,0.4641,0.8359025716781616
opt-125m,2,22,0.5253,0.8356168866157532
opt-125m,2,23,0.5776,0.8354206085205078
opt-125m,2,24,0.5246,0.8351532816886902
opt-125m,2,25,0.5522,0.8349482417106628
opt-125m,2,26,0.4983,0.8348619341850281
opt-125m,2,27,0.5132,0.8347395062446594
opt-125m,2,28,0.4977,0.8347102403640747
opt-125m,2,29,0.5374,0.8346474766731262
opt-125m,2,30,0.5382,0.8345667123794556
opt-125m,2,31,0.6008,0.8344951868057251
opt-125m,2,32,0.4842,0.8344656229019165
opt-125m,2,33,0.5022,0.8344444036483765
opt-125m,2,34,0.4403,0.8344197273254395
opt-125m,2,35,0.479,0.8343943357467651
opt-125m,2,36,0.5313,0.8343551754951477
opt-125m,2,37,0.5225,0.8343454599380493
opt-125m,2,38,0.5455,0.8343192338943481
opt-125m,2,39,0.538,0.8342982530593872
opt-125m,2,40,0.529,0.8342930674552917
opt-125m,2,1,0.7802,0.8382819294929504
opt-125m,2,2,0.8688,0.8365353345870972
opt-125m,2,3,0.7628,0.8331998586654663
opt-125m,2,4,0.8256,0.8282468914985657
opt-125m,2,5,0.8126,0.8216317892074585
opt-125m,2,6,0.7414,0.8152546882629395
opt-125m,2,7,0.6977,0.8091030120849609
opt-125m,2,8,0.6878,0.8032078742980957
opt-125m,2,9,0.6307,0.7975411415100098
opt-125m,2,10,0.7064,0.7921627759933472
opt-125m,2,11,0.6562,0.7869551777839661
opt-125m,2,12,0.6589,0.7819747924804688
opt-125m,2,13,0.5832,0.7771870493888855
opt-125m,2,14,0.5638,0.7726253271102905
opt-125m,2,15,0.6389,0.7682515382766724
opt-125m,2,16,0.6223,0.7640889883041382
opt-125m,2,17,0.7056,0.7601186633110046
opt-125m,2,18,0.6368,0.7563576698303223
opt-125m,2,19,0.7107,0.752792239189148
opt-125m,2,20,0.549,0.7494146823883057
opt-125m,2,21,0.6101,0.7462334036827087
opt-125m,2,22,0.6064,0.7432421445846558
opt-125m,2,23,0.5287,0.7404267191886902
opt-125m,2,24,0.5635,0.7377889752388
opt-125m,2,25,0.5544,0.7353491187095642
opt-125m,2,26,0.5558,0.7330576181411743
opt-125m,2,27,0.5839,0.7309209108352661
opt-125m,2,28,0.5264,0.7289352416992188
opt-125m,2,29,0.5385,0.727105975151062
opt-125m,2,30,0.5918,0.7254334688186646
opt-125m,2,31,0.6061,0.7239063382148743
opt-125m,2,32,0.5492,0.7225439548492432
opt-125m,2,33,0.6019,0.7213395237922668
opt-125m,2,34,0.5662,0.7202836275100708
opt-125m,2,35,0.5167,0.7193829417228699
opt-125m,2,36,0.6217,0.7186336517333984
opt-125m,2,37,0.4377,0.7180342674255371
opt-125m,2,38,0.5576,0.7175880670547485
opt-125m,2,39,0.532,0.717288613319397
opt-125m,2,40,0.5124,0.7171388864517212
opt-125m,2,1,0.7667,0.8382819294929504
opt-125m,2,2,0.6157,0.8400249481201172
opt-125m,2,3,0.7504,0.8434267044067383
opt-125m,2,4,0.7639,0.8483834266662598
opt-125m,2,5,0.8115,0.8551067113876343
opt-125m,2,6,0.7865,0.8617541193962097
opt-125m,2,7,0.5551,0.8683603405952454
opt-125m,2,8,0.5104,0.8748628497123718
opt-125m,2,9,0.6893,0.8811985850334167
opt-125m,2,10,0.6301,0.8873252868652344
opt-125m,2,11,0.7162,0.8933359384536743
opt-125m,2,12,0.5855,0.8991876840591431
opt-125m,2,13,0.5799,0.9049324989318848
opt-125m,2,14,0.4859,0.9105015993118286
opt-125m,2,15,0.6318,0.915939450263977
opt-125m,2,16,0.5935,0.9212082624435425
opt-125m,2,17,0.5285,0.9262863397598267
opt-125m,2,18,0.5035,0.9311552047729492
opt-125m,2,19,0.5392,0.93580561876297
opt-125m,2,20,0.4875,0.940298855304718
opt-125m,2,21,0.5437,0.9446352124214172
opt-125m,2,22,0.4721,0.9487816691398621
opt-125m,2,23,0.3797,0.9527454376220703
