model_name,sample_size,eval_in_loss,eval_in_accuracy,eval_in_runtime,eval_in_samples_per_second,eval_in_peak_memory_gb,eval_out_loss,eval_out_accuracy,eval_out_runtime,eval_out_samples_per_second,eval_out_peak_memory_gb
opt-350m,4,0.8236524856090546,0.46,74.92448210716248,0.6673386134119198,7.315098762512207,0.7732616442441941,0.54,75.21246552467346,0.6647834192271956,7.315098762512207
opt-350m,4,0.7864456188678741,0.52,65.87331914901733,0.7590326500307504,7.305577278137207,0.6931471824645996,0.46,65.75180530548096,0.7604353944002217,7.305577278137207
opt-350m,4,0.7176181495189666,0.6,74.459064245224,0.671509916312266,7.315098762512207,0.7732616442441941,0.54,74.27325010299683,0.6731898756371046,7.315098762512207
opt-350m,4,0.7884570652246475,0.54,66.09797072410583,0.7564528752130824,7.305577278137207,0.7732616442441941,0.54,65.95892405509949,0.7580475381652977,7.305577278137207
opt-350m,4,0.7432044130563736,0.52,73.88051390647888,0.6767684380659851,7.315098762512207,0.7700204372406005,0.46,74.0620801448822,0.6751093123794076,7.315098762512207
opt-350m,8,0.7059975463151932,0.58,66.74562501907349,0.7491127693494788,7.305577278137207,0.7211929672956466,0.5,66.46236562728882,0.7523054517859423,7.305577278137207
opt-350m,8,0.8132616430521011,0.5,73.48491263389587,0.6804117771644033,7.315098762512207,0.7732616442441941,0.54,73.9020128250122,0.6765715585905863,7.315098762512207
opt-350m,8,0.7252158600091935,0.58,67.15292835235596,0.7445691681179801,7.305577278137207,0.7315838098526001,0.46,66.86293315887451,0.7477984832222943,7.305577278137207
opt-350m,8,0.7520318841934204,0.56,73.15158247947693,0.6835122126582535,7.315098762512207,0.7360547775030136,0.6,73.28860855102539,0.6822342651680817,7.315098762512207
opt-350m,8,0.6979517608880996,0.5,69.48704099655151,0.7195586296800491,7.305577278137207,0.6931471824645996,0.46,67.29992413520813,0.7429428880119996,7.305577278137207
opt-350m,8,0.7935952544212341,0.4,72.6685242652893,0.6880558055295873,7.315098762512207,0.7591815197467804,0.4,72.89039015769958,0.6859614812298872,7.315098762512207
opt-350m,8,0.7315838098526001,0.5,67.71722507476807,0.7383645733385251,7.305577278137207,0.6791815221309662,0.56,67.81551456451416,0.7372944129537508,7.305577278137207
opt-350m,8,0.7399632060527801,0.44,72.34593081474304,0.6911238743756786,7.315098762512207,0.7227563387155533,0.42,72.39471507072449,0.6906581502690294,7.315098762512207
opt-350m,8,0.7404112809896469,0.54,68.34889674186707,0.7315407034122986,7.305577278137207,0.7732616442441941,0.54,67.88147521018982,0.7365779816242768,7.305577278137207
opt-350m,8,0.7867792296409607,0.38,72.42363262176514,0.6903823819653826,7.315098762512207,0.6931471824645996,0.46,72.23577976226807,0.6921777568478219,7.315098762512207
opt-350m,16,0.6931471824645996,0.5,68.28593325614929,0.7322152252418311,7.305577278137207,0.6931471824645996,0.46,67.9191963672638,0.7361688988431462,7.305577278137207
opt-350m,16,0.8132616430521011,0.5,72.44464421272278,0.6901821458765472,7.315098762512207,0.7732616442441941,0.54,72.3130395412445,0.6914382290829024,7.315098762512207
opt-350m,16,1.0032044053077698,0.0,68.06696724891663,0.7345707032480695,7.305577278137207,0.9783998274803162,0.0,67.72758436203003,0.7382516366260863,7.305577278137207
opt-350m,16,0.8132616430521011,0.5,72.47237610816956,0.6899180444335352,7.315098762512207,0.7732616442441941,0.54,72.1112711429596,0.6933728834272758,7.315098762512207
opt-350m,16,0.8132616430521011,0.5,68.57551884651184,0.7291231745823429,7.305577278137207,0.7732616442441941,0.54,67.93620371818542,0.7359846041355386,7.305577278137207
opt-350m,16,0.6931471824645996,0.5,72.06842279434204,0.6937851289278584,7.315098762512207,0.6931471824645996,0.46,71.73772406578064,0.6969833605837842,7.315098762512207
opt-350m,16,0.8132616430521011,0.5,68.87479209899902,0.7259550043814458,7.305577278137207,0.7732616442441941,0.54,68.21888947486877,0.7329348276538502,7.305577278137207
opt-350m,16,0.8132616430521011,0.5,71.80199217796326,0.6963595087455734,7.315098762512207,0.7732616442441941,0.54,71.51742482185364,0.6991303185838629,7.315098762512207
opt-350m,16,0.6931471824645996,0.5,69.0105390548706,0.724527016956711,7.305577278137207,0.6931471824645996,0.46,68.57227349281311,0.729157682153274,7.305577278137207
opt-350m,16,1.0032044053077698,0.0,71.32705521583557,0.7009962748174597,7.315098762512207,0.9783998274803162,0.0,70.9425859451294,0.704795283874661,7.315098762512207
