model_name,sample_size,epoch,train_loss,val_loss
opt-125m,2,27,0.0,1.9487779140472412
opt-125m,2,28,0.0,1.9617570638656616
opt-125m,2,29,0.0,1.972791314125061
opt-125m,2,30,0.0,1.982093095779419
opt-125m,2,31,0.0,1.9898830652236938
opt-125m,2,32,0.0,1.9963308572769165
opt-125m,2,33,0.0,2.0015900135040283
opt-125m,2,34,0.0,2.0058255195617676
opt-125m,2,35,0.0,2.0091633796691895
opt-125m,2,36,0.0,2.0117249488830566
opt-125m,2,37,0.0,2.0136115550994873
opt-125m,2,38,0.0,2.014915943145752
opt-125m,2,39,0.0,2.015720844268799
opt-125m,2,40,0.0,2.016092538833618
opt-125m,2,1,0.5566,0.6946821212768555
opt-125m,2,2,0.7664,0.7092787027359009
opt-125m,2,3,0.7007,0.7451774477958679
opt-125m,2,4,0.4293,0.8163728713989258
opt-125m,2,5,0.1714,0.9476431012153625
opt-125m,2,6,0.0997,1.106543779373169
opt-125m,2,7,0.0363,1.2788546085357666
opt-125m,2,8,0.0204,1.464660882949829
opt-125m,2,9,0.0141,1.6574060916900635
opt-125m,2,10,0.0079,1.8637161254882812
opt-125m,2,11,0.0031,2.0687718391418457
opt-125m,2,12,0.0019,2.263242244720459
opt-125m,2,13,0.0013,2.4443814754486084
opt-125m,2,14,0.001,2.614098310470581
opt-125m,2,15,0.0004,2.7689011096954346
opt-125m,2,16,0.0004,2.9100589752197266
opt-125m,2,17,0.0003,3.0368237495422363
opt-125m,2,18,0.0002,3.148834228515625
opt-125m,2,19,0.0002,3.2486395835876465
opt-125m,2,20,0.0001,3.3367507457733154
opt-125m,2,21,0.0001,3.4139809608459473
opt-125m,2,22,0.0001,3.4820480346679688
opt-125m,2,23,0.0001,3.5412349700927734
opt-125m,2,24,0.0001,3.5924296379089355
opt-125m,2,25,0.0001,3.636561155319214
opt-125m,2,26,0.0001,3.6745524406433105
opt-125m,2,27,0.0,3.7071621417999268
opt-125m,2,28,0.0,3.7349579334259033
opt-125m,2,29,0.0,3.758476734161377
opt-125m,2,30,0.0,3.7781951427459717
opt-125m,2,31,0.0,3.7946383953094482
opt-125m,2,32,0.0,3.8082096576690674
opt-125m,2,33,0.0,3.8192763328552246
opt-125m,2,34,0.0,3.8281681537628174
opt-125m,2,35,0.0,3.835174083709717
opt-125m,2,36,0.0,3.8405392169952393
opt-125m,2,37,0.0,3.8444888591766357
opt-125m,2,38,0.0,3.8472213745117188
opt-125m,2,39,0.0,3.84889554977417
opt-125m,2,40,0.0001,3.8496766090393066
opt-125m,2,1,0.9946,0.6946821212768555
